subject,teacher,time_detail,all_colleges_registered,classroom
大學外文（二）：法文,李立林,四567,38,學思040107
大學外文（二）：法文,李立林,五234,29,學思040103
大學外文（二）：法文,羅清菁,三D56,39,資訊140106
大學外文（二）：德文,江世琳,二234,18,大勇210208
大學外文（二）：德文,江世琳,二D56,29,大勇210208
大學外文（二）：德文,江世琳,三234,22,大勇210208
大學外文（二）：德文,江世琳,四234,24,大勇210208
大學外文（二）：德文,江世琳,四D56,41,大勇210208
大學外文（二）：日文,詹兆雯,二234,35,學思040306
大學外文（二）：日文,詹兆雯,二D56,41,資訊140106
大學外文（二）：日文,詹兆雯,三234,44,研究250307
大學外文（二）：日文,詹兆雯,四234,47,研究250307
英文字彙教學,鍾曉芳,二234,2,商館260315
華語語音與音韻,蕭宇超,四CD5,3,季陶340315
漢語語意學,陳奕勳,三D56,0, 無資料
第二語言習得,黃瓊之,一D56,11,季陶340315
溝通之中的日語文法,葉秉杰,未定或彈性,10, 無資料
日本動漫研究,山藤夏郎,三78,6,研究250421
日語語彙文法研究,王淑琴,二34,1,季陶340304
日語教育學研究４,喬曉筠,一78,3,研究250420
